DHSID,air_transport_count,ground_transport_count,water_transport_count,all_transport_count
PH201700000960,0.0,0.0,0.0,0.0
PH201700000961,1.0,4.0,0.0,5.0
PH201700000962,0.0,0.0,0.0,0.0
PH201700000963,0.0,0.0,0.0,0.0
PH201700000964,0.0,1.0,0.0,1.0
PH201700000965,0.0,0.0,0.0,0.0
PH201700000966,0.0,0.0,0.0,0.0
PH201700000967,1.0,0.0,0.0,1.0
PH201700000968,0.0,0.0,0.0,0.0
PH201700000969,0.0,0.0,0.0,0.0
PH201700000970,0.0,0.0,0.0,0.0
PH201700000971,0.0,0.0,0.0,0.0
PH201700000972,0.0,0.0,0.0,0.0
PH201700000973,1.0,0.0,0.0,1.0
PH201700000974,0.0,1.0,1.0,2.0
PH201700000975,0.0,0.0,0.0,0.0
PH201700000976,0.0,0.0,0.0,0.0
PH201700000977,0.0,1.0,3.0,4.0
PH201700000978,1.0,0.0,0.0,1.0
PH201700000979,0.0,0.0,0.0,0.0
PH201700000980,1.0,8.0,0.0,9.0
PH201700000981,0.0,1.0,1.0,2.0
PH201700000982,0.0,0.0,0.0,0.0
PH201700000983,0.0,3.0,0.0,3.0
PH201700000984,0.0,2.0,1.0,3.0
PH201700000985,0.0,0.0,0.0,0.0
PH201700000986,0.0,0.0,0.0,0.0
PH201700000987,0.0,1.0,0.0,1.0
PH201700000988,0.0,0.0,0.0,0.0
PH201700000989,0.0,2.0,0.0,2.0
PH201700000990,0.0,1.0,0.0,1.0
PH201700000991,0.0,1.0,0.0,1.0
PH201700000992,0.0,3.0,0.0,3.0
PH201700000993,0.0,0.0,0.0,0.0
PH201700000994,0.0,1.0,0.0,1.0
PH201700000995,2.0,8.0,2.0,12.0
PH201700000996,0.0,0.0,0.0,0.0
PH201700000997,0.0,0.0,3.0,3.0
PH201700000998,0.0,0.0,0.0,0.0
PH201700000999,0.0,1.0,0.0,1.0
PH201700001000,0.0,0.0,1.0,1.0
PH201700001001,2.0,7.0,0.0,9.0
PH201700001002,0.0,0.0,4.0,4.0
PH201700001003,0.0,0.0,0.0,0.0
PH201700001004,0.0,3.0,0.0,3.0
PH201700001005,0.0,0.0,1.0,1.0
PH201700001006,0.0,0.0,0.0,0.0
PH201700000013,0.0,3.0,2.0,5.0
PH201700000014,0.0,3.0,2.0,5.0
PH201700000015,0.0,2.0,2.0,4.0
PH201700000016,0.0,3.0,2.0,5.0
PH201700000017,0.0,2.0,2.0,4.0
PH201700000018,0.0,3.0,2.0,5.0
PH201700001007,2.0,1.0,0.0,3.0
PH201700001008,0.0,1.0,0.0,1.0
PH201700001009,0.0,0.0,0.0,0.0
PH201700001010,0.0,1.0,0.0,1.0
PH201700001011,0.0,0.0,0.0,0.0
PH201700001012,0.0,0.0,0.0,0.0
PH201700001013,0.0,0.0,0.0,0.0
PH201700001014,0.0,0.0,0.0,0.0
PH201700001015,0.0,0.0,0.0,0.0
PH201700001016,0.0,0.0,0.0,0.0
PH201700001017,0.0,0.0,0.0,0.0
PH201700001018,0.0,0.0,0.0,0.0
PH201700001019,0.0,0.0,0.0,0.0
PH201700001020,0.0,1.0,0.0,1.0
PH201700001021,0.0,0.0,0.0,0.0
PH201700001022,0.0,0.0,0.0,0.0
PH201700001023,0.0,0.0,0.0,0.0
PH201700001024,0.0,0.0,0.0,0.0
PH201700001025,0.0,3.0,1.0,4.0
PH201700001026,0.0,0.0,0.0,0.0
PH201700001027,0.0,0.0,0.0,0.0
PH201700001028,2.0,2.0,0.0,4.0
PH201700001029,0.0,1.0,0.0,1.0
