DHSID,ground_transport_count,water_transport_count,air_transport_count,all_transport_count
PK201700000400,1.0,0.0,4.0,5.0
PK201700000401,0.0,0.0,1.0,1.0
PK201700000402,0.0,0.0,1.0,1.0
PK201700000403,0.0,0.0,0.0,0.0
PK201700000404,0.0,0.0,0.0,0.0
PK201700000405,0.0,0.0,0.0,0.0
PK201700000406,0.0,0.0,0.0,0.0
PK201700000407,0.0,0.0,0.0,0.0
PK201700000408,0.0,0.0,0.0,0.0
PK201700000409,0.0,0.0,0.0,0.0
PK201700000410,0.0,0.0,0.0,0.0
PK201700000411,0.0,0.0,0.0,0.0
PK201700000412,0.0,0.0,0.0,0.0
PK201700000413,0.0,0.0,0.0,0.0
PK201700000414,0.0,0.0,0.0,0.0
PK201700000415,0.0,0.0,0.0,0.0
PK201700000416,63.0,0.0,10.0,73.0
PK201700000417,17.0,0.0,9.0,26.0
PK201700000418,38.0,0.0,10.0,48.0
PK201700000419,78.0,0.0,5.0,83.0
PK201700000420,0.0,0.0,2.0,2.0
PK201700000421,14.0,0.0,1.0,15.0
PK201700000422,0.0,0.0,0.0,0.0
PK201700000423,8.0,0.0,1.0,9.0
PK201700000424,45.0,0.0,11.0,56.0
PK201700000425,6.0,0.0,0.0,6.0
PK201700000426,21.0,0.0,4.0,25.0
PK201700000427,18.0,0.0,9.0,27.0
PK201700000428,3.0,0.0,3.0,6.0
PK201700000429,7.0,0.0,2.0,9.0
PK201700000430,13.0,0.0,3.0,16.0
PK201700000431,1.0,0.0,2.0,3.0
PK201700000432,0.0,0.0,0.0,0.0
PK201700000433,0.0,0.0,0.0,0.0
PK201700000434,0.0,0.0,0.0,0.0
PK201700000435,16.0,0.0,0.0,16.0
PK201700000436,0.0,0.0,0.0,0.0
PK201700000437,2.0,0.0,0.0,2.0
PK201700000438,13.0,0.0,0.0,13.0
PK201700000439,1.0,0.0,0.0,1.0
PK201700000440,2.0,0.0,0.0,2.0
PK201700000441,2.0,0.0,0.0,2.0
PK201700000442,0.0,0.0,0.0,0.0
PK201700000443,2.0,0.0,0.0,2.0
PK201700000444,1.0,0.0,0.0,1.0
PK201700000445,1.0,0.0,0.0,1.0
PK201700000446,0.0,0.0,0.0,0.0
PK201700000447,0.0,0.0,0.0,0.0
PK201700000448,2.0,0.0,1.0,3.0
PK201700000450,0.0,0.0,0.0,0.0
PK201700000451,0.0,0.0,1.0,1.0
PK201700000452,0.0,0.0,0.0,0.0
PK201700000453,1.0,0.0,0.0,1.0
PK201700000455,0.0,0.0,1.0,1.0
PK201700000456,0.0,0.0,1.0,1.0
PK201700000457,1.0,0.0,0.0,1.0
PK201700000458,0.0,0.0,0.0,0.0
PK201700000459,0.0,0.0,0.0,0.0
PK201700000460,1.0,0.0,0.0,1.0
PK201700000461,0.0,0.0,0.0,0.0
PK201700000462,0.0,0.0,0.0,0.0
PK201700000463,1.0,0.0,0.0,1.0
PK201700000464,0.0,0.0,0.0,0.0
PK201700000465,0.0,0.0,0.0,0.0
PK201700000466,2.0,0.0,0.0,2.0
PK201700000467,0.0,0.0,0.0,0.0
PK201700000468,2.0,0.0,0.0,2.0
PK201700000469,1.0,0.0,0.0,1.0
PK201700000470,0.0,0.0,0.0,0.0
PK201700000471,10.0,0.0,2.0,12.0
PK201700000472,10.0,0.0,0.0,10.0
PK201700000473,10.0,0.0,0.0,10.0
PK201700000474,0.0,0.0,0.0,0.0
PK201700000475,0.0,0.0,0.0,0.0
PK201700000476,6.0,0.0,4.0,10.0
PK201700000477,8.0,0.0,2.0,10.0
PK201700000478,0.0,0.0,0.0,0.0
PK201700000479,0.0,0.0,4.0,4.0
PK201700000480,6.0,0.0,3.0,9.0
PK201700000481,0.0,0.0,0.0,0.0
PK201700000482,0.0,0.0,0.0,0.0
PK201700000483,0.0,0.0,0.0,0.0
PK201700000484,0.0,0.0,0.0,0.0
PK201700000485,0.0,0.0,0.0,0.0
PK201700000486,2.0,0.0,0.0,2.0
PK201700000487,7.0,0.0,0.0,7.0
PK201700000488,0.0,1.0,2.0,3.0
PK201700000489,0.0,0.0,0.0,0.0
PK201700000490,0.0,0.0,0.0,0.0
PK201700000491,0.0,0.0,0.0,0.0
PK201700000492,1.0,0.0,0.0,1.0
PK201700000493,0.0,0.0,0.0,0.0
PK201700000494,0.0,0.0,0.0,0.0
PK201700000495,0.0,0.0,0.0,0.0
PK201700000497,0.0,0.0,0.0,0.0
PK201700000498,0.0,0.0,0.0,0.0
PK201700000499,0.0,0.0,0.0,0.0
PK201700000500,0.0,0.0,0.0,0.0
PK201700000501,0.0,0.0,0.0,0.0
PK201700000502,0.0,0.0,0.0,0.0
PK201700000503,0.0,0.0,0.0,0.0
PK201700000504,0.0,0.0,0.0,0.0
PK201700000505,0.0,0.0,0.0,0.0
PK201700000507,0.0,0.0,0.0,0.0
PK201700000511,1.0,0.0,1.0,2.0
PK201700000512,0.0,0.0,0.0,0.0
PK201700000514,0.0,0.0,0.0,0.0
PK201700000515,1.0,0.0,2.0,3.0
PK201700000516,0.0,0.0,0.0,0.0
PK201700000517,0.0,0.0,0.0,0.0
PK201700000518,0.0,0.0,0.0,0.0
PK201700000519,0.0,0.0,0.0,0.0
PK201700000520,0.0,0.0,2.0,2.0
PK201700000521,0.0,0.0,0.0,0.0
PK201700000522,0.0,0.0,0.0,0.0
PK201700000523,0.0,0.0,0.0,0.0
PK201700000524,0.0,0.0,0.0,0.0
PK201700000525,0.0,0.0,0.0,0.0
PK201700000526,0.0,0.0,2.0,2.0
PK201700000527,0.0,0.0,2.0,2.0
PK201700000528,0.0,0.0,2.0,2.0
PK201700000529,0.0,0.0,0.0,0.0
PK201700000530,0.0,0.0,0.0,0.0
PK201700000531,0.0,0.0,2.0,2.0
PK201700000532,0.0,0.0,0.0,0.0
PK201700000533,0.0,0.0,0.0,0.0
PK201700000534,0.0,0.0,0.0,0.0
PK201700000536,0.0,0.0,0.0,0.0
PK201700000537,0.0,0.0,0.0,0.0
PK201700000538,0.0,0.0,0.0,0.0
PK201700000539,0.0,0.0,0.0,0.0
PK201700000540,0.0,0.0,0.0,0.0
PK201700000541,0.0,0.0,0.0,0.0
PK201700000542,0.0,0.0,0.0,0.0
PK201700000543,0.0,0.0,0.0,0.0
PK201700000544,1.0,0.0,0.0,1.0
PK201700000545,0.0,0.0,0.0,0.0
PK201700000546,0.0,0.0,0.0,0.0
PK201700000547,0.0,0.0,0.0,0.0
PK201700000548,0.0,0.0,0.0,0.0
PK201700000549,0.0,0.0,0.0,0.0
PK201700000550,0.0,0.0,0.0,0.0
PK201700000551,0.0,0.0,0.0,0.0
PK201700000552,0.0,0.0,0.0,0.0
PK201700000553,0.0,0.0,0.0,0.0
PK201700000554,0.0,0.0,0.0,0.0
PK201700000555,0.0,0.0,0.0,0.0
PK201700000556,0.0,0.0,0.0,0.0
PK201700000557,0.0,0.0,0.0,0.0
PK201700000558,0.0,0.0,0.0,0.0
PK201700000559,0.0,0.0,0.0,0.0
PK201700000560,0.0,0.0,0.0,0.0
PK201700000561,0.0,0.0,0.0,0.0
PK201700000562,0.0,0.0,0.0,0.0
PK201700000563,2.0,0.0,0.0,2.0
PK201700000564,0.0,0.0,0.0,0.0
PK201700000565,0.0,0.0,0.0,0.0
PK201700000566,0.0,0.0,0.0,0.0
PK201700000567,0.0,0.0,0.0,0.0
PK201700000568,0.0,0.0,1.0,1.0
PK201700000569,0.0,0.0,1.0,1.0
PK201700000570,0.0,0.0,0.0,0.0
PK201700000571,0.0,0.0,0.0,0.0
PK201700000572,0.0,0.0,0.0,0.0
PK201700000574,0.0,0.0,0.0,0.0
PK201700000575,0.0,0.0,0.0,0.0
PK201700000576,1.0,0.0,0.0,1.0
PK201700000577,0.0,0.0,0.0,0.0
PK201700000578,1.0,0.0,0.0,1.0
PK201700000579,1.0,0.0,2.0,3.0
PK201700000580,0.0,0.0,0.0,0.0
