DHSID,minor_roads_count,minor_roads_length,nocars_roads_count,nocars_roads_length,small_roads_count,small_roads_length,major_roads_count,major_roads_length,links_roads_count,links_roads_length,unknown_roads_count,unknown_roads_length,minor_roads_nearest-osmid,minor_roads_nearestdist,nocars_roads_nearest-osmid,nocars_roads_nearestdist,small_roads_nearest-osmid,small_roads_nearestdist,major_roads_nearest-osmid,major_roads_nearestdist,links_roads_nearest-osmid,links_roads_nearestdist,unknown_roads_nearest-osmid,unknown_roads_nearestdist,all_roads_length,all_roads_count,all_roads_nearestdist
TG201300000049,60.0,17273.252082766547,161.0,34103.16118946278,30.0,3334.1631232887394,10.0,6805.5094674835655,0.0,0.0,0.0,0.0,800258540,0.7279027192708936,460034143,0.7238838310272823,853233196,0.7224190400215815,276210072,0.7394050613503128,644490866,1.1054008346531539,873262814,1.39126376919904,61516.08586300163,261.0,0.7224190400215815
TG201300000050,2.0,16760.397673427917,0.0,0.0,2.0,691.095752293284,10.0,7168.75239331181,0.0,0.0,0.0,0.0,372155933,1.5021168525625637,372171552,1.547749886483994,898440169,1.6551039003291768,171809806,1.4637860103317646,976237867,1.8782443930136912,873262814,2.504986931995557,24620.24581903301,14.0,1.4637860103317646
TG201300000051,41.0,10149.142245750065,34.0,9501.491150163421,11.0,1296.1335908841072,8.0,15432.557494835592,0.0,0.0,0.0,0.0,246412420,1.4329081494183777,460034143,1.4432131595465247,1008778873,1.4376215315006997,447746188,1.3905948629100908,644490866,1.7706300454423316,873262814,2.1389531100983112,36379.324481633186,94.0,1.3905948629100908
TG201300000052,69.0,15476.406740974358,45.0,14067.87172282846,16.0,46131.42887679114,1.0,24.556957869265236,0.0,0.0,0.0,0.0,904760841,0.0018088878058110116,1015700026,0.05491577150097659,989732492,0.00045497844957409077,345633139,0.008055560439743075,680278737,0.20416442201462437,873262814,0.12462798687648201,75700.26429846323,131.0,0.00045497844957409077
TG201300000053,322.0,104795.59204909712,161.0,142597.81348855438,49.0,38489.427064928845,11.0,6449.96728766724,0.0,0.0,0.0,0.0,228153671,0.00038239905646271516,309141361,0.002113725033140037,228156410,0.0008971436234564166,228153534,0.0008729240410676734,666968537,0.0008729240410676734,930159554,0.17571831216627345,292332.7998902476,543.0,0.00038239905646271516
TG201300000054,126.0,76726.97780226418,50.0,29461.65184619647,76.0,59807.3647946303,6.0,15595.713631416786,0.0,0.0,0.0,0.0,377675350,0.06885477288632505,923073822,0.11528056138027644,862053195,0.09130897383700709,231554983,0.03377154875059548,680278737,0.35206526430390056,873262814,0.2598800703559627,181591.70807450774,258.0,0.03377154875059548
TG201300000055,6.0,4287.252230875682,0.0,0.0,3.0,355.4362264710468,2.0,11015.342955036285,0.0,0.0,0.0,0.0,478541566,0.31028272334078694,579722330,0.32672542516233166,579722332,0.3228508948595961,324048779,0.30150921404613884,579642902,0.32783177298262667,930159554,0.39369753260919077,15658.031412383014,11.0,0.30150921404613884
TG201300000056,1124.0,413041.35948261933,135.0,51496.75820365985,67.0,140280.53942639907,56.0,68746.47387281373,11.0,60279.48646170446,0.0,0.0,800258540,0.8116067443864603,460034143,0.8077014492649035,853233196,0.8061806523268581,276210072,0.8228131108556374,644490866,1.1864179010641778,873262814,1.4635672425126562,733844.6174471965,1393.0,0.8061806523268581
TG201300000057,962.0,840343.4557091258,57.0,16704.695381739162,196.0,252385.00534707174,124.0,271501.9005635233,10.0,91898.11361515238,0.0,0.0,333640644,1.3638289241855617,358627704,1.366738345782099,358627706,1.3723975019606778,75570976,1.3648567081873748,976237867,1.4498102528311398,930159553,2.0014715098067106,1472833.1706166123,1349.0,1.3638289241855617
TG201300000058,145.0,48088.23004672678,40.0,79215.210562753,107.0,38452.58181030045,5.0,4997.115574372538,2.0,3124.212011039997,0.0,0.0,372762844,0.0032615571241700514,268095833,0.05532864819667474,372657129,0.035530809382952354,370726809,0.0255519437188833,976237866,0.4421425046966176,930159553,0.8710764776576548,173877.35000519274,299.0,0.0032615571241700514
