DHSID,water_transport_count,air_transport_count,ground_transport_count,all_transport_count
KE201400000407,0.0,0.0,4.0,4.0
KE201400000408,0.0,0.0,1.0,1.0
KE201400000409,0.0,1.0,1.0,2.0
KE201400000410,0.0,0.0,0.0,0.0
KE201400000411,0.0,0.0,1.0,1.0
KE201400000412,0.0,0.0,2.0,2.0
KE201400000413,0.0,0.0,0.0,0.0
KE201400000414,0.0,0.0,2.0,2.0
KE201400000415,0.0,0.0,2.0,2.0
KE201400000416,0.0,0.0,0.0,0.0
KE201400000417,0.0,0.0,0.0,0.0
KE201400000418,0.0,0.0,2.0,2.0
KE201400000419,0.0,0.0,2.0,2.0
KE201400000420,0.0,0.0,0.0,0.0
KE201400000421,0.0,2.0,1.0,3.0
KE201400000422,0.0,0.0,0.0,0.0
KE201400000423,0.0,0.0,0.0,0.0
KE201400000425,0.0,2.0,2.0,4.0
KE201400000426,0.0,1.0,2.0,3.0
KE201400000427,0.0,1.0,2.0,3.0
KE201400000428,0.0,0.0,0.0,0.0
KE201400000429,0.0,1.0,0.0,1.0
KE201400000431,0.0,2.0,1.0,3.0
KE201400000432,0.0,0.0,0.0,0.0
KE201400000433,0.0,1.0,1.0,2.0
KE201400000434,0.0,2.0,1.0,3.0
KE201400000435,0.0,0.0,0.0,0.0
KE201400000436,0.0,0.0,0.0,0.0
KE201400000437,0.0,0.0,0.0,0.0
KE201400000438,0.0,0.0,0.0,0.0
KE201400000439,0.0,0.0,0.0,0.0
KE201400000440,0.0,0.0,0.0,0.0
KE201400000441,0.0,0.0,0.0,0.0
KE201400000442,0.0,0.0,0.0,0.0
KE201400000443,0.0,0.0,0.0,0.0
KE201400000444,0.0,0.0,0.0,0.0
KE201400000445,0.0,0.0,0.0,0.0
KE201400000446,0.0,0.0,0.0,0.0
KE201400000447,0.0,0.0,0.0,0.0
KE201400000448,0.0,0.0,0.0,0.0
KE201400000450,0.0,0.0,0.0,0.0
KE201400000451,0.0,0.0,0.0,0.0
KE201400000452,0.0,0.0,0.0,0.0
KE201400000453,0.0,0.0,1.0,1.0
KE201400000454,0.0,0.0,1.0,1.0
KE201400000455,0.0,0.0,1.0,1.0
KE201400000456,0.0,0.0,1.0,1.0
KE201400000457,0.0,0.0,0.0,0.0
KE201400000458,0.0,0.0,0.0,0.0
KE201400000459,0.0,0.0,0.0,0.0
KE201400000460,0.0,3.0,0.0,3.0
KE201400000461,0.0,1.0,1.0,2.0
KE201400000462,0.0,0.0,0.0,0.0
KE201400000463,0.0,2.0,1.0,3.0
KE201400000464,0.0,2.0,1.0,3.0
KE201400000465,0.0,1.0,1.0,2.0
KE201400000466,0.0,2.0,1.0,3.0
KE201400000467,0.0,2.0,1.0,3.0
KE201400000468,0.0,2.0,1.0,3.0
