DHSID,minor_roads_count,minor_roads_length,nocars_roads_count,nocars_roads_length,small_roads_count,small_roads_length,major_roads_count,major_roads_length,unknown_roads_count,unknown_roads_length,links_roads_count,links_roads_length,minor_roads_nearest-osmid,minor_roads_nearestdist,nocars_roads_nearest-osmid,nocars_roads_nearestdist,small_roads_nearest-osmid,small_roads_nearestdist,major_roads_nearest-osmid,major_roads_nearestdist,unknown_roads_nearest-osmid,unknown_roads_nearestdist,links_roads_nearest-osmid,links_roads_nearestdist,all_roads_length,all_roads_count,all_roads_nearestdist
BD201800000375,139.0,65575.91146372407,0.0,0.0,1.0,388.6766758002093,4.0,1223.257330820083,0.0,0.0,0.0,0.0,692915327,0.0019921452233659966,837745305,0.05375901219446816,531410228,0.025414436277721934,164049968,0.023952184747785425,164049970,0.05020670742490887,589090850,0.4209975811039286,67187.84547034436,144.0,0.0019921452233659966
BD201800000376,109.0,18027.45041605997,0.0,0.0,0.0,0.0,7.0,1436.4339744487916,0.0,0.0,0.0,0.0,467092693,0.00791942979152091,774903112,0.16090202745066867,469004660,0.1042591471317797,469004657,0.003323552329422977,561272302,0.13834714752579028,700058700,0.4947578374530955,19463.884390508763,116.0,0.003323552329422977
BD201800000377,23.0,10807.504741277662,0.0,0.0,0.0,0.0,3.0,929.5155060502555,0.0,0.0,0.0,0.0,410664459,0.00031646054427796,794503227,0.009788574808776993,682711258,0.028658695019413746,161287462,0.000756683039361455,495817900,0.02938602580915919,161176948,0.0517839125789146,11737.020247327917,26.0,0.00031646054427796
BD201800000378,161.0,40271.56123984326,16.0,13579.6135108174,3.0,3908.4110057179028,7.0,11492.708184118634,0.0,0.0,0.0,0.0,466839110,0.172675494127154,714998466,0.21556796910765433,704133790,0.21138381500959774,366628660,0.15405829411904276,561272302,0.38159776264237827,692088804,0.542079087122789,69252.2939404972,187.0,0.15405829411904276
BD201800000379,195.0,63094.86553052564,2.0,3353.604338261865,18.0,9022.304773618345,9.0,1857.432035461999,0.0,0.0,0.0,0.0,560248886,0.0030451847242948323,560305001,0.019621555822917185,560280450,0.019833715697196955,837745846,0.009655431846198546,529367965,0.13436055592210114,857411076,0.03736243605739065,77328.20667786786,224.0,0.0030451847242948323
BD201800000380,300.0,98181.109129306,9.0,3388.2248580311607,17.0,8420.877299963944,44.0,10357.648749540704,1.0,374.3360124598611,0.0,0.0,749051255,0.30433182303063944,661299444,0.31786764183319394,661299443,0.3186086447064222,752024164,0.3030023562192049,550298578,0.5808330094807369,524460731,0.5404065647684669,120722.19604930167,371.0,0.3030023562192049
BD201800000381,250.0,92041.40720028357,10.0,15083.943334677118,9.0,4821.8308569307355,32.0,12111.696945431198,1.0,374.3360124598611,0.0,0.0,819542299,0.012942512234066601,837812694,0.05754922643338917,468731300,0.04157975375263685,243878292,0.006949399178952996,561272302,0.22716198376086907,700058700,0.4747651646565682,124433.21434978247,302.0,0.006949399178952996
BD201800000382,64.0,42180.96732147624,0.0,0.0,2.0,11069.100415775052,24.0,22060.946675346007,2.0,456.49043024238756,0.0,0.0,719046025,0.0035207702840293186,839696404,0.025050779486382284,746879720,0.03560477659045264,237011783,0.0009793175875750634,157219242,0.11287354045558741,234751823,0.20958542911122024,75767.50484283967,92.0,0.0009793175875750634
BD201800000383,9.0,2470.6542471139483,1.0,1835.0695787707539,2.0,11069.100415775052,15.0,40949.55570969439,0.0,0.0,0.0,0.0,567184895,0.6549271167736763,557027056,0.6608943993690214,753741340,0.6677153154677112,567184890,0.6433929007870559,550298578,0.8967558578477087,524460731,0.859122794628895,56324.379951354145,27.0,0.6433929007870559
BD201800000384,19.0,3083.827818102845,0.0,0.0,0.0,0.0,7.0,1858.841883605307,2.0,456.49043024238756,0.0,0.0,765261938,0.013688037121079352,619370692,0.05052510544074843,465585642,0.037771699004241634,57046815,0.002385272286522118,857901217,0.23180674028192347,744276379,0.2564911541622332,5399.160131950539,28.0,0.002385272286522118
BD201800000385,38.0,13774.586403230325,7.0,742.3152585369959,0.0,0.0,8.0,2834.022830062102,0.0,0.0,0.0,0.0,454557357,0.0004854607785665139,551731425,0.008168405731269597,559738004,0.01529473627212456,454557359,0.0019603893594501336,546416475,0.017179212652733675,546870445,0.1254249993534209,17350.92449182942,53.0,0.0004854607785665139
BD201800000386,26.0,12203.358769155351,0.0,0.0,0.0,0.0,2.0,1609.3685736762482,0.0,0.0,0.0,0.0,523279730,0.0002823831395607568,524031243,0.003983969823178609,523234214,0.010156048592411279,523256976,0.012463028445207098,340749714,0.02946295167771573,523262002,0.02911105680075799,13812.7273428316,28.0,0.0002823831395607568
BD201800000387,126.0,53872.511753534134,0.0,0.0,4.0,2641.5933931963705,14.0,3514.09865781797,0.0,0.0,0.0,0.0,662455763,0.03962611438654208,295902166,0.06769658933243121,662450288,0.05306725469001376,662328851,0.04928755473497564,791120036,0.3402818642337411,101865827,0.772059508565404,60028.20380454848,144.0,0.03962611438654208
BD201800000388,608.0,244765.82540712634,16.0,7719.3161356057,70.0,68339.82361940983,71.0,41218.09636059001,0.0,0.0,1.0,207.90837082092568,685825097,0.0068833563514631504,550791888,0.009717200789574684,617795587,0.02980279561365481,165012265,0.004602923861841283,588083952,0.07223031266969578,744276379,0.2261585128717074,362250.9698935528,766.0,0.004602923861841283
BD201800000389,168.0,64602.780799397806,1.0,1019.112003596738,0.0,0.0,13.0,8574.104436235672,0.0,0.0,0.0,0.0,692221685,0.6846911829625792,712233950,0.8184048855585309,465585637,0.7808379679670678,327665434,0.7460444066985815,533403627,0.9328240637944838,311197624,0.9144800951196641,74195.99723923022,182.0,0.6846911829625792
