DHSID,lodging_pois_count,other_pois_count,food_pois_count,services_pois_count,entertainment_pois_count,landmark_pois_count,education_pois_count,health_pois_count,retail_pois_count,all_pois_count
BD201800000412,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,3.0
BD201800000413,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,6.0,11.0
BD201800000414,3.0,0.0,11.0,29.0,6.0,0.0,6.0,4.0,20.0,79.0
BD201800000415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
BD201800000416,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,5.0
BD201800000417,0.0,0.0,6.0,7.0,1.0,0.0,1.0,1.0,9.0,25.0
BD201800000418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BD201800000419,0.0,0.0,0.0,2.0,3.0,1.0,4.0,3.0,3.0,16.0
BD201800000420,19.0,0.0,61.0,59.0,39.0,1.0,27.0,14.0,56.0,276.0
BD201800000421,6.0,0.0,19.0,20.0,9.0,0.0,7.0,12.0,21.0,94.0
BD201800000422,4.0,0.0,0.0,5.0,13.0,2.0,7.0,0.0,3.0,34.0
BD201800000423,7.0,0.0,6.0,8.0,15.0,2.0,12.0,0.0,13.0,63.0
BD201800000424,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
BD201800000425,0.0,0.0,3.0,8.0,1.0,0.0,3.0,1.0,6.0,22.0
BD201800000426,1.0,0.0,0.0,10.0,0.0,0.0,7.0,0.0,0.0,18.0
BD201800000427,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,3.0,7.0
BD201800000428,4.0,0.0,9.0,37.0,18.0,1.0,18.0,4.0,11.0,102.0
BD201800000429,0.0,0.0,0.0,4.0,1.0,0.0,7.0,1.0,5.0,18.0
BD201800000430,0.0,0.0,0.0,0.0,3.0,0.0,3.0,1.0,1.0,8.0
BD201800000431,2.0,0.0,2.0,6.0,0.0,0.0,0.0,3.0,6.0,19.0
BD201800000432,1.0,0.0,2.0,2.0,11.0,1.0,3.0,2.0,0.0,22.0
