DHSID,lodging_pois_count,education_pois_count,landmark_pois_count,health_pois_count,food_pois_count,entertainment_pois_count,services_pois_count,retail_pois_count,all_pois_count
ML201800000297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ML201800000298,0.0,5.0,0.0,0.0,0.0,0.0,1.0,2.0,8.0
ML201800000299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ML201800000300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ML201800000301,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
ML201800000302,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
ML201800000303,0.0,5.0,0.0,2.0,0.0,0.0,1.0,1.0,9.0
ML201800000305,0.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0
ML201800000306,0.0,4.0,0.0,2.0,0.0,0.0,0.0,1.0,7.0
ML201800000307,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0
ML201800000311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ML201800000312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ML201800000313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ML201800000314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ML201800000315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ML201800000316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ML201800000317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ML201800000318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ML201800000319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ML201800000320,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ML201800000321,0.0,9.0,6.0,2.0,0.0,5.0,21.0,3.0,46.0
ML201800000322,0.0,8.0,6.0,3.0,0.0,5.0,19.0,3.0,44.0
ML201800000323,0.0,8.0,6.0,3.0,0.0,5.0,20.0,3.0,45.0
ML201800000324,0.0,5.0,5.0,2.0,0.0,5.0,18.0,3.0,38.0
ML201800000325,0.0,6.0,5.0,2.0,0.0,5.0,21.0,3.0,42.0
ML201800000326,0.0,8.0,6.0,3.0,0.0,5.0,18.0,3.0,43.0
ML201800000327,0.0,9.0,6.0,3.0,0.0,5.0,23.0,3.0,49.0
ML201800000328,0.0,7.0,6.0,2.0,0.0,5.0,23.0,3.0,46.0
ML201800000329,0.0,5.0,4.0,3.0,0.0,5.0,14.0,3.0,34.0
ML201800000330,0.0,6.0,6.0,2.0,0.0,5.0,14.0,3.0,36.0
ML201800000331,0.0,6.0,4.0,2.0,0.0,5.0,13.0,3.0,33.0
ML201800000332,0.0,6.0,4.0,2.0,0.0,5.0,13.0,3.0,33.0
ML201800000333,3.0,167.0,2.0,21.0,25.0,60.0,40.0,36.0,354.0
ML201800000334,3.0,121.0,5.0,11.0,15.0,38.0,38.0,25.0,256.0
ML201800000335,3.0,159.0,2.0,16.0,16.0,47.0,38.0,29.0,310.0
ML201800000336,2.0,151.0,6.0,19.0,21.0,52.0,49.0,41.0,341.0
ML201800000337,2.0,125.0,1.0,14.0,1.0,7.0,17.0,15.0,182.0
ML201800000338,2.0,155.0,1.0,19.0,8.0,14.0,22.0,18.0,239.0
ML201800000339,11.0,139.0,0.0,35.0,57.0,80.0,59.0,47.0,428.0
ML201800000340,3.0,132.0,2.0,22.0,10.0,16.0,17.0,18.0,220.0
ML201800000341,7.0,74.0,1.0,18.0,35.0,51.0,42.0,14.0,242.0
ML201800000342,11.0,138.0,1.0,28.0,53.0,66.0,49.0,34.0,380.0
ML201800000343,15.0,45.0,12.0,41.0,54.0,93.0,137.0,79.0,476.0
ML201800000344,26.0,56.0,8.0,47.0,72.0,90.0,150.0,65.0,514.0
ML201800000345,32.0,42.0,8.0,34.0,73.0,221.0,145.0,57.0,612.0
ML201800000346,16.0,81.0,8.0,31.0,51.0,51.0,114.0,65.0,417.0
ML201800000347,19.0,41.0,15.0,46.0,57.0,115.0,187.0,80.0,560.0
ML201800000348,35.0,43.0,13.0,44.0,85.0,223.0,186.0,75.0,704.0
ML201800000349,3.0,42.0,1.0,16.0,17.0,20.0,45.0,39.0,183.0
ML201800000350,4.0,47.0,1.0,16.0,22.0,29.0,54.0,45.0,218.0
